question,Intent_Number
how do I post a job job oppertunit/Intern  for having a data base built?,67
How do I post a job on the career center?,67
How do I post a job opening?,67
How do I post a job to hire UGA graduates,67
How do I post a job with a UGA department?,67
How do I post a part time off campus job?,67
"How do you get permission to post a job on Handshake? Do we need to call someone? If so, who? ",67
How does a government agency go about posting a job on your website?,67
how much to post a job,67
how to post a job ,67
How to post a job offering?,67
I am a local veterinary hospital and would like to post a job opening.  How do I do that?,67
I am a recruiter and I would like to post a job. How do i do that,67
I am a recruiter and would like to know how I can post a job on your career board.,67
I am a recruiter and would like to know how I can post a job on your career board.,67
"I am actually a recruiter for a software company. I posted a job through handshake, but I wanted to know what I could do to really get the job out there. We haven't received any resumes so far. ",67
I am an alumna. How can I post a job?,67
I am an employeer - going to post a job - I was told that Synchrony Financial is already an employer with access - I want to log into to career buzz to become another contact for Synchrony Financial - do I still go to Career Buzz and click  on New employer registration and set up a log in?,67
I am an employeer and would like to post a job ,67
I am an employer and want to post a job on a job board,67
I am an employer and where do I post a job,67
I am an employer looking to post a job on your alumni site,67
i am an employer trying to a post a job on your career site,67
I am an employer trying to post a job,67
I am an employer who registered on 5/23 with Career Services and I'd like to post a job but don't know the status of my registration.,67
"I am an employer, How do I post a job?",67
"I am an employer, where should I go to post a job?",67
I am an employer; how do I post a job on your site,67
I am an employer.  How do I post a job for a Penn senior or graduate?,67
I am an employer. How can I post a job? ,67
I am an MBA alum and looking to post a job for recent undergrads.,67
I am employer and would like post a job. ,67
i am hoping to post a job listing,67
I am interested in posting a job,67
I am looking to post a job for students. Is that possible on the website?,67
I am posting a job and need assistance answering some of the required items,67
I am trying to find the job postings,67
I have a job posting ,67
I need help posting a job,67
i need to extend a job posting,67
I need to find where to post a job,67
i need to know as a company how do i post a job on UGA job board,67
I need to post a job,67
I registered our company and never received an approval to post a job position,67
i want job postings,67
I want to post a job,67
I want to post a job,67
I want to post a job,67
I want to post a job opening,67
I want to post a job opening,67
I want to post a job opening,67
